Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
Guyana,2,206410000,"SWN LVR,ED,FZ",0,0,0,0,0,0,0,27,0,0,,US,GY,206410000,
Guyana,3,206490030,"SWN OFL,FZ,FEET",0,0,0,0,0,0,0,4,0,0,,US,GY,206490030,
"Bahamas, The",1,206490030,"SWN OFL,FZ,FEET",21,6,15,49,31,16,50,90,62,81,30,US,BF,206490030,
"Bahamas, The",2,206490090,"SWN OFL,FZ,OTHER",25,57,96,30,13,29,61,72,33,33,-3,US,BF,206490090,
"Bahamas, The",3,206490050,"SWN OFL,FZ,RIND",0,0,0,0,0,0,3,0,0,0,,US,BF,206490050,
Peru,1,206490090,"SWN OFL,FZ,OTHER",587,762,"1,196",61,0,0,0,42,212,100,-53,US,PE,206490090,
Peru,2,206410000,"SWN LVR,ED,FZ",0,0,34,0,0,0,0,0,0,0,,US,PE,206410000,
Peru,3,206490010,"SWN OFL,FZ,TNGUE",0,0,0,0,0,0,98,98,0,0,,US,PE,206490010,
Peru,4,206490030,"SWN OFL,FZ,FEET",0,0,0,209,62,48,0,0,0,0,,US,PE,206490030,
Peru,5,206490050,"SWN OFL,FZ,RIND",0,30,15,0,0,0,26,0,0,0,,US,PE,206490050,
Suriname,1,206490090,"SWN OFL,FZ,OTHER",0,0,0,0,0,0,0,0,0,89,,US,NS,206490090,
Albania,1,206490090,"SWN OFL,FZ,OTHER",211,0,0,0,83,46,47,0,224,62,-73,US,AL,206490090,
Albania,2,206490010,"SWN OFL,FZ,TNGUE",0,0,0,40,0,212,0,0,53,0,,US,AL,206490010,
Albania,3,206490040,"SWN OFL,FZ,HDMT",394,49,0,0,138,133,0,0,0,0,,US,AL,206490040,
Turks and Caicos Islands,1,206490090,"SWN OFL,FZ,OTHER",64,119,338,27,15,31,35,68,15,44,185,US,TK,206490090,
Turks and Caicos Islands,2,206490030,"SWN OFL,FZ,FEET",7,0,0,0,0,0,12,0,0,5,,US,TK,206490030,
