Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
Nicaragua,3,203121000,"HM,SH,PRC,FR,CH",0,0,0,0,0,0,0,7,0,3,,US,NU,203121000,
Nicaragua,4,203129000,"HM/SH X PC,FR,CH",72,166,3,0,0,0,44,0,0,3,,US,NU,203129000,
Nicaragua,5,203110000,"SWN CRC,FR,CH",0,0,0,7,0,87,90,0,61,0,,US,NU,203110000,
Belgium-Luxembourg(*),1,203194000,"SWN MT,FR/CH",782,507,243,267,38,0,0,158,294,201,-32,US,BE,203194000,
Belgium-Luxembourg(*),2,203129000,"HM/SH X PC,FR,CH",215,153,0,0,0,0,0,0,0,139,,US,BE,203129000,
Belgium-Luxembourg(*),3,203192000,"SWN MT,PRC,FR,CH",0,0,0,0,0,0,0,0,163,0,,US,BE,203192000,
New Zealand(*),1,203194000,"SWN MT,FR/CH","1,194","2,001","1,803","1,368","1,121",844,108,248,395,255,-35,US,NZ,203194000,
New Zealand(*),2,203110000,"SWN CRC,FR,CH",0,0,0,0,0,0,0,27,0,82,,US,NZ,203110000,
New Zealand(*),3,203121000,"HM,SH,PRC,FR,CH",0,5,0,0,0,0,0,0,0,0,,US,NZ,203121000,
New Zealand(*),4,203129000,"HM/SH X PC,FR,CH",68,0,120,317,0,0,0,0,0,0,,US,NZ,203129000,
New Zealand(*),5,203192000,"SWN MT,PRC,FR,CH",41,0,0,206,0,55,0,0,0,0,,US,NZ,203192000,
Peru,1,203110000,"SWN CRC,FR,CH",0,0,587,498,475,204,626,843,450,318,-29,US,PE,203110000,
Peru,2,203121000,"HM,SH,PRC,FR,CH",0,0,86,0,0,0,0,0,0,7,,US,PE,203121000,
Peru,3,203129000,"HM/SH X PC,FR,CH",0,42,323,78,0,0,0,0,0,0,,US,PE,203129000,
Peru,4,203194000,"SWN MT,FR/CH",3,0,0,0,0,0,0,71,0,0,,US,PE,203194000,
