"Data generated on Friday, April 4, 2025 at 10:54:43 AM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"112","Ghana","1","Pork, Fr/Ch/Fz","0","13","3","7","6","6","26","0","0","0","","US","GH","0603AT",
"113","Greenland","1","Pork, Fr/Ch/Fz","0","0","0","0","0","0","0","0","14","0","","US","GL","0603AT",
"114","Germany","1","Pork, Fr/Ch/Fz","3,341","2,106","1,745","2,245","1,360","1,493","1,519","1,531","2,224","0","","US","GM","0603AT",
"115","Guinea","1","Pork, Fr/Ch/Fz","4","9","50","67","3","0","0","0","0","0","","US","GV","0603AT",
"116","Croatia","1","Pork, Fr/Ch/Fz","0","0","0","0","0","85","0","0","0","0","","US","HR","0603AT",
"117","Iceland","1","Pork, Fr/Ch/Fz","0","32","9","3","18","0","13","0","0","0","","US","IC","0603AT",
"118","Israel(*)","1","Pork, Fr/Ch/Fz","102","20","59","33","10","77","198","18","3","0","","US","IS","0603AT",
"119","Cote d'Ivoire","1","Pork, Fr/Ch/Fz","0","0","0","0","40","36","0","0","0","0","","US","IV","0603AT",
"120","Jordan","1","Pork, Fr/Ch/Fz","186","222","0","0","7","0","0","46","10","0","","US","JO","0603AT",
"121","Kenya","1","Pork, Fr/Ch/Fz","0","8","0","0","0","0","0","3","0","0","","US","KE","0603AT",
"122","Kuwait","1","Pork, Fr/Ch/Fz","0","27","0","0","0","21","0","0","0","0","","US","KU","0603AT",
"123","Kosovo","1","Pork, Fr/Ch/Fz","0","77","0","0","0","0","0","0","0","0","","US","KV","0603AT",
"124","Lebanon","1","Pork, Fr/Ch/Fz","11","6","129","115","15","9","49","0","0","0","","US","LE","0603AT",
"125","Lithuania","1","Pork, Fr/Ch/Fz","427","0","0","0","0","0","0","0","0","0","","US","LH","0603AT",
"126","Liberia","1","Pork, Fr/Ch/Fz","74","54","0","0","0","0","0","0","0","0","","US","LI","0603AT",
"127","Moldova","1","Pork, Fr/Ch/Fz","0","0","0","0","236","193","39","0","0","0","","US","MD","0603AT",
"128","Malta","1","Pork, Fr/Ch/Fz","10","0","0","0","0","0","0","0","0","0","","US","MT","0603AT",
"129","Mozambique","1","Pork, Fr/Ch/Fz","0","0","0","0","0","91","164","0","54","0","","US","MZ","0603AT",
"130","Norway(*)","1","Pork, Fr/Ch/Fz","18","0","0","12","0","5","0","0","0","0","","US","NO","0603AT",
"131","Pakistan","1","Pork, Fr/Ch/Fz","0","0","0","0","0","7","22","21","0","0","","US","PK","0603AT",
"132","Poland","1","Pork, Fr/Ch/Fz","75","0","0","0","3","0","0","4","0","0","","US","PL","0603AT",
"133","Portugal","1","Pork, Fr/Ch/Fz","8","9","12","37","12","0","5","5","0","0","","US","PO","0603AT",
"134","Papua New Guinea","1","Pork, Fr/Ch/Fz","0","0","0","0","0","0","3","0","0","0","","US","PP","0603AT",
"135","Romania","1","Pork, Fr/Ch/Fz","0","0","0","0","0","15","0","0","0","0","","US","RO","0603AT",
"136","Slovenia","1","Pork, Fr/Ch/Fz","0","0","0","4","0","0","3","0","0","0","","US","SI","0603AT",
"137","Sweden","1","Pork, Fr/Ch/Fz","5","10","8","58","31","0","0","0","0","0","","US","SW","0603AT",
"138","Switzerland(*)","1","Pork, Fr/Ch/Fz","9","0","0","0","0","0","0","0","0","0","","US","SZ","0603AT",
"139","Uganda","1","Pork, Fr/Ch/Fz","0","0","0","0","0","0","0","3","0","0","","US","UG","0603AT",
"140","Ukraine","1","Pork, Fr/Ch/Fz","0","0","0","3","95","1,346","0","0","0","0","","US","UP","0603AT",
"141","Uzbekistan, Republic of","1","Pork, Fr/Ch/Fz","0","0","26","0","0","0","0","0","0","0","","US","UZ","0603AT",
"142","Africa, not elsewhere specified(*)","1","Pork, Fr/Ch/Fz","27","0","0","0","0","31","0","0","0","0","","US","X4","0603AT",
"143","French West Indies(*)","1","Pork, Fr/Ch/Fz","0","35","21","0","0","0","0","6","3","0","","US","Y2","0603AT",
"144","British Pacific Islands(*)","1","Pork, Fr/Ch/Fz","14","0","58","27","39","38","13","0","75","0","","US","Z6","0603AT",
"145","Zambia","1","Pork, Fr/Ch/Fz","0","102","0","0","0","0","0","12","0","0","","US","ZA","0603AT",
"","Grand Total","","","4,029,593","4,198,982","4,558,394","4,589,849","5,204,063","5,976,589","5,941,770","5,408,546","6,013,503","6,504,600","8",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. (*) denotes a country that is a summarization of its component countries."
"3. Product Group : FAS &#40;Agricultural&#41;"
