Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
New Zealand(*),1,,"Pork, Fr/Ch/Fz","12,624","12,884","14,011","17,028","22,714","29,271","29,849","13,017","27,154","37,599",38,US,NZ,0603AT,
Chile,1,,"Pork, Fr/Ch/Fz","30,664","41,283","63,941","66,187","85,222","99,085","73,497","32,098","38,489","31,345",-19,US,CI,0603AT,
Hong Kong,1,,"Pork, Fr/Ch/Fz","96,658","92,048","86,843","45,632","43,726","50,143","31,214","26,688","26,533","26,533",,US,HK,0603AT,
Cuba,1,,"Pork, Fr/Ch/Fz",0,0,0,0,0,0,0,145,"8,565","25,880",202,US,CU,0603AT,
Malaysia,1,,"Pork, Fr/Ch/Fz",38,237,520,410,964,"1,220",613,776,"15,738","24,124",53,US,MY,0603AT,
Taiwan,1,,"Pork, Fr/Ch/Fz","25,293","14,372","23,278","28,505","30,339","44,646","10,107","8,490","45,919","18,639",-59,US,TW,0603AT,
"Bahamas, The",1,,"Pork, Fr/Ch/Fz","9,133","11,702","13,020","10,198","10,361","9,619","11,879","14,140","14,440","14,680",2,US,BF,0603AT,
Leeward-Windward Islands(*),1,,"Pork, Fr/Ch/Fz","3,383","3,992","4,435","4,968","6,117","4,890","6,530","8,656","8,983","10,287",15,US,Y1,0603AT,
Trinidad and Tobago,1,,"Pork, Fr/Ch/Fz","6,877","6,154","5,671","5,255","6,529","6,490","5,744","5,337","7,012","9,493",35,US,TD,0603AT,
Netherlands Antilles(*),1,,"Pork, Fr/Ch/Fz","2,584","4,030","4,484","4,715","5,259","3,383","4,882","6,626","7,851","7,463",-5,US,NT,0603AT,
Singapore,1,,"Pork, Fr/Ch/Fz","8,128","7,531","10,921","8,292","10,746","10,349","8,219","8,092","6,556","7,116",9,US,SN,0603AT,
Vietnam,1,,"Pork, Fr/Ch/Fz","2,359","3,117","11,267","21,352","9,227","47,562","10,664","5,364","7,150","7,028",-2,US,VM,0603AT,
Peru,1,,"Pork, Fr/Ch/Fz","7,525","5,514","9,405","11,725","10,948","10,374","7,655","4,396","5,134","5,791",13,US,PE,0603AT,
United Kingdom,1,,"Pork, Fr/Ch/Fz","3,963","3,640","3,544","3,563","3,298","3,361","3,956","1,101","3,561","4,611",29,US,UK,0603AT,
Cayman Islands,1,,"Pork, Fr/Ch/Fz","1,055","1,038","1,131","1,069","1,252","1,153","1,780","2,592","2,794","3,027",8,US,CJ,0603AT,
Indonesia,1,,"Pork, Fr/Ch/Fz","1,380","1,213","1,483","2,184","2,274",514,"1,866","1,521","3,416","2,979",-13,US,ID,0603AT,
Turks and Caicos Islands,1,,"Pork, Fr/Ch/Fz",499,"1,109","1,003","1,269","1,097",897,"1,871","1,973","2,075","2,918",41,US,TK,0603AT,
Micronesia,1,,"Pork, Fr/Ch/Fz",728,816,"1,007",889,"1,160","1,425","2,034","1,725","1,865","1,931",4,US,FM,0603AT,
Barbados,1,,"Pork, Fr/Ch/Fz","1,507","1,218","1,210",974,"1,101",685,"1,177","2,048","1,487","1,841",24,US,BB,0603AT,
Bermuda,1,,"Pork, Fr/Ch/Fz",583,577,480,496,891,994,"1,003","1,421","1,572","1,825",16,US,BD,0603AT,
Belize,1,,"Pork, Fr/Ch/Fz",363,645,741,923,"1,079",894,"1,286","1,339","1,679","1,682",,US,BH,0603AT,
Belgium-Luxembourg(*),1,,"Pork, Fr/Ch/Fz",997,"1,424",868,449,"1,430",140,0,371,865,"1,496",73,US,BE,0603AT,
Guyana,1,,"Pork, Fr/Ch/Fz",48,60,48,195,281,211,356,559,"1,410","1,443",2,US,GY,0603AT,
Haiti,1,,"Pork, Fr/Ch/Fz","1,507",846,997,919,557,697,443,804,673,"1,104",64,US,HA,0603AT,
Marshall Islands,1,,"Pork, Fr/Ch/Fz",439,548,496,662,655,"1,004","1,121",968,"1,082","1,067",-1,US,RM,0603AT,
Ecuador,1,,"Pork, Fr/Ch/Fz","4,506",543,"1,458","2,236","1,646","1,639","1,853","1,381","1,161","1,057",-9,US,EC,0603AT,
French Pacific Islands(*),1,,"Pork, Fr/Ch/Fz",553,427,470,937,"1,886",384,268,428,986,820,-17,US,Z1,0603AT,
